,activation_code,total_time_spent,NPS_repgrid,NPS_identity,age,num_kids,stress_score,gender,marital_status,rep_grid_elements_id,stressful_situation_rating,rep_grid_matrix,interesting_rating_repgrid_output1,learnt_score_repgrid_output1,interesting_rating_repgrid_output2,learnt_score_repgrid_output2,do_you_want_to_improve_output2,interesting_rating_repgrid_output3,learnt_score_repgrid_output3,do_you_want_to_improve_output3,interesting_rating_repgrid_output4,learnt_score_repgrid_output4,do_you_want_to_improve_output4,feeling_repgrid_activity,comments_repgrid_activity,core_identity,middle_identity,outer_identity,learnt_score_identity_activity,interesting_score_identity_activity,feeling_identity_activity,comments_identity_activity,identity_consistency_score,cumulative_time_per_page,repgrid_output1_constructs,repgrid_output1_elements,repgrid_output4,repgrid_output2,repgrid_output3_good_constructs,repgrid_output3_bad_constructs,repgrid_output3_bad_elements
28,ZJOPiOhj ,23,5,4,36,2,14,Male,Single,"[0, 1, 2, 12, 4, 8]","[0, 0, 3, 2, 0, 0, 1, 0, 2, 1, 2, 0, 2, 1, 1, 1]","[array([5, 7, 5, 5, 2, 3]), array([5, 6, 4, 5, 3, 5]), array([5, 6, 5, 6, 2, 4]), array([5, 5, 4, 4, 1, 4]), array([5, 5, 4, 2, 4, 5]), array([4, 5, 3, 2, 1, 5]), array([4, 4, 2, 6, 2, 6]), array([6, 5, 3, 7, 2, 6]), array([6, 6, 6, 7, 4, 4]), array([4, 6, 5, 3, 1, 2])]",Agree,Agree,Agree,Agree,Yes,Disagree,Disagree,Yes,Agree,Disagree,Yes,Same,That was interesting,"['organised', 'fast-paced', 'hardworking']","['liberal', 'slowpaced', 'lazy', 'cluttered', 'unhelpful']","['delayed', 'cluttered', 'independent', 'serious', 'opinionated', 'unhelpful', 'influential', 'slowpaced', 'liberal', 'spontaneous', 'lazy']",Strongly Disagree,Disagree,Same,Perhaps not as useful or interesting as the previous exercise},2.1790123456790127,"[0.0, 0.38333333333333336, 0.6166666666666667, 0.9333333333333333, 2.5, 2.65, 6.266666666666667, 6.35, 6.966666666666667, 8.266666666666667, 8.983333333333333, 10.216666666666667, 10.733333333333333, 11.333333333333334, 12.216666666666667, 12.8, 13.316666666666666, 13.65, 14.8, 15.283333333333333, 16.133333333333333, 16.2, 16.75, 17.066666666666666, 17.633333333333333, 17.9, 18.65, 18.683333333333334, 19.0, 19.533333333333335, 19.9, 21.25, 21.3]","['selfish / generous', 'boring / fun']","[0, 8]",0.26578871697687523,0.11606179812640043,['unsuccessful / successful'],"['uncaring / caring', 'selfish / generous', 'unfriendly / friendly', 'quiet / talkative', 'boring / fun', 'stubborn / docile', 'not understanding / understanding', 'unambitious / motivated']","[2, 4, 8, 12]"
29,Q4hcOVN3 ,12,7,6,39,0,18,Female,Single,"[0, 1, 12, 4, 13, 2]","[1, 0, 3, 2, 2, 1, 2, 0, 1, 2, 1, 1, 0, 2, 1, 1]","[array([5, 7, 4, 6, 7, 7]), array([5, 7, 4, 6, 7, 7]), array([6, 6, 5, 7, 7, 7]), array([6, 6, 5, 6, 7, 7]), array([6, 5, 6, 6, 6, 6]), array([4, 6, 4, 5, 6, 6]), array([5, 5, 4, 3, 3, 3]), array([5, 6, 5, 6, 6, 6]), array([6, 7, 6, 6, 6, 6]), array([6, 6, 5, 6, 7, 6])]",Agree,Agree,Agree,Agree,Yes,Agree,Disagree,No,Agree,Agree,Yes,Same,N9,"['helpful', 'thoughtful', 'organised']","['delayed', 'spontaneous', 'cluttered', 'unhelpful', 'slowpaced']","['delayed', 'cluttered', 'teamplayer', 'serious', 'compromising', 'unhelpful', 'following', 'slowpaced', 'conservative', 'spontaneous', 'lazy']",Agree,Agree,Same,N9},0.5339506172839505,"[0.0, 0.05, 0.3333333333333333, 0.4666666666666667, 1.4833333333333334, 1.5166666666666666, 3.433333333333333, 3.4833333333333334, 3.6333333333333333, 4.683333333333334, 4.916666666666667, 5.55, 6.016666666666667, 6.4, 6.766666666666667, 7.216666666666667, 7.55, 7.983333333333333, 8.383333333333333, 8.766666666666667, 9.216666666666667, 9.25, 9.9, 10.25, 11.116666666666667, 11.25, 11.616666666666667, 11.633333333333333, 11.85, 12.433333333333334, 13.4, 13.533333333333333, 13.566666666666666]","['uncaring / caring', 'selfish / generous']","[0, 2]",-0.0861460984507896,0.28690658729438595,"['unsuccessful / successful', 'uncaring / caring', 'boring / fun']",['stubborn / docile'],"[4, 13, 2]"
30,MWRWKUvB ,21,8,8,28,0,12,Female,Single,"[0, 1, 11, 13, 4, 9]","[2, 0, 2, 1, 1, 3, 2, 0, 1, 2, 0, 1, 1, 2, 1, 1]","[array([4, 5, 4, 6, 6, 6]), array([5, 5, 4, 6, 6, 6]), array([4, 5, 4, 5, 3, 5]), array([6, 6, 4, 7, 2, 6]), array([5, 5, 4, 6, 3, 7]), array([5, 5, 3, 6, 3, 6]), array([3, 4, 5, 5, 3, 4]), array([5, 6, 4, 6, 6, 6]), array([5, 6, 4, 6, 5, 6]), array([5, 6, 3, 6, 4, 6])]",Agree,Disagree,Agree,Disagree,No,Agree,Disagree,No,Agree,Disagree,No,Better,No comments ,"['punctual', 'helpful', 'liberal']","['delayed', 'lazy', 'cluttered', 'unhelpful', 'conservative']","['delayed', 'cluttered', 'teamplayer', 'serious', 'compromising', 'unhelpful', 'following', 'slowpaced', 'conservative', 'spontaneous', 'lazy']",Disagree,Agree,Same,No},1.1697530864197532,"[0.0, 0.06666666666666667, 0.26666666666666666, 0.5, 3.95, 4.1, 7.383333333333334, 7.516666666666667, 8.216666666666667, 10.683333333333334, 11.166666666666666, 12.116666666666667, 12.616666666666667, 13.45, 13.85, 14.483333333333333, 15.35, 16.383333333333333, 16.783333333333335, 17.566666666666666, 18.2, 18.3, 19.283333333333335, 19.783333333333335, 20.25, 20.6, 21.016666666666666, 21.05, 21.283333333333335, 22.566666666666666, 23.75, 24.116666666666667, 24.166666666666668]","['not understanding / understanding', 'selfish / generous']","[9, 0]",0.7798440467844056,0.3360210010290908,[],"['unsuccessful / successful', 'selfish / generous', 'unfriendly / friendly', 'quiet / talkative', 'boring / fun', 'stubborn / docile', 'not confident / confident']","[13, 4, 9, 11]"
31,ixTcReNK ,13,5,6,38,1,12,Female,Single,"[0, 1, 7, 10, 3, 12]","[1, 1, 1, 1, 1, 1, 2, 1, 1, 0, 0, 1, 1, 0, 0, 1]","[array([5, 6, 4, 5, 3, 6]), array([6, 7, 6, 6, 5, 7]), array([5, 6, 5, 5, 5, 6]), array([6, 7, 4, 5, 4, 6]), array([5, 5, 3, 3, 3, 5]), array([5, 7, 3, 3, 2, 5]), array([3, 4, 3, 2, 2, 5]), array([6, 6, 4, 4, 4, 6]), array([5, 5, 4, 4, 4, 5]), array([6, 7, 5, 5, 4, 6])]",Disagree,Disagree,Agree,Agree,Yes,Disagree,Disagree,Yes,Agree,Agree,Yes,Same,Generally I am aware of certain tasks at work that stress me and why ,"['teamplayer', 'helpful', 'playful']","['independent', 'serious', 'opinionated', 'unhelpful', 'conservative']","['punctual', 'organised', 'independent', 'serious', 'opinionated', 'unhelpful', 'influential', 'fastpaced', 'conservative', 'thoughtful', 'hardworking']",Agree,Agree,Same,Interesting to note what makes me stressed at work and think about it },1.0771604938271606,"[0.0, 0.18333333333333332, 0.45, 0.6333333333333333, 2.5, 2.533333333333333, 6.4, 6.45, 6.683333333333334, 7.983333333333333, 8.35, 8.833333333333334, 9.333333333333334, 9.983333333333333, 10.783333333333333, 11.433333333333334, 12.05, 13.133333333333333, 13.983333333333333, 14.516666666666667, 15.05, 15.1, 16.016666666666666, 16.6, 17.683333333333334, 18.033333333333335, 18.483333333333334, 18.533333333333335, 18.7, 19.466666666666665, 20.383333333333333, 21.2, 21.25]","['not understanding / understanding', 'unambitious / motivated']","[1, 7]",0.8029550685469661,0.6071751333901948,['boring / fun'],"['unsuccessful / successful', 'uncaring / caring', 'unfriendly / friendly', 'quiet / talkative', 'stubborn / docile', 'not understanding / understanding', 'not confident / confident']","[7, 3, 10, 12]"
32,6aPQqTGV ,14,9,8,24,0,19,Male,Single,"[0, 1, 12, 9, 13, 10]","[2, 1, 1, 1, 0, 3, 1, 1, 2, 1, 1, 2, 2, 2, 3, 1]","[array([4, 7, 6, 6, 3, 3]), array([2, 6, 6, 3, 3, 3]), array([2, 6, 5, 3, 6, 5]), array([6, 7, 7, 3, 6, 6]), array([2, 5, 6, 5, 4, 5]), array([3, 6, 7, 3, 2, 4]), array([3, 4, 5, 3, 5, 4]), array([5, 7, 6, 3, 5, 7]), array([4, 7, 6, 7, 3, 4]), array([3, 6, 6, 6, 5, 4])]",Agree,Agree,Agree,Agree,Yes,Agree,Agree,Yes,Agree,Agree,Yes,Better,This was an interesting exercise and I learned a lot ,"['independent', 'hardworking', 'liberal']","['teamplayer', 'thoughtful', 'slowpaced', 'conservative', 'lazy']","['delayed', 'cluttered', 'teamplayer', 'serious', 'opinionated', 'unhelpful', 'following', 'slowpaced', 'conservative', 'thoughtful', 'lazy']",Agree,Agree,Better,No comments},1.9598765432098766,"[0.0, 0.11666666666666667, 0.23333333333333334, 0.3333333333333333, 1.7333333333333334, 1.8, 3.7666666666666666, 3.85, 3.8833333333333333, 4.583333333333333, 4.716666666666667, 5.133333333333334, 5.533333333333333, 5.85, 6.066666666666666, 6.433333333333334, 6.666666666666667, 6.9, 7.083333333333333, 7.3, 7.533333333333333, 7.583333333333333, 7.983333333333333, 8.266666666666667, 8.766666666666667, 8.966666666666667, 9.3, 9.333333333333334, 9.4, 9.816666666666666, 10.75, 11.0, 11.05]","['unsuccessful / successful', 'unambitious / motivated']","[1, 10]",0.6290666547552538,0.303651481018873,"['unsuccessful / successful', 'selfish / generous', 'quiet / talkative', 'boring / fun', 'not understanding / understanding', 'unambitious / motivated', 'not confident / confident']","['unfriendly / friendly', 'stubborn / docile']","[9, 12, 13]"
33,tKlhvz09 ,33,2,9,47,0,33,Female,Single,"[0, 1, 3, 12, 8, 5]","[2, 1, 2, 2, 3, 3, 3, 2, 3, 2, 1, 0, 0, 1, 3, 1]","[array([4, 7, 3, 2, 2, 1]), array([7, 4, 7, 2, 6, 6]), array([7, 3, 6, 2, 1, 7]), array([6, 4, 3, 1, 2, 6]), array([5, 4, 1, 2, 6, 3]), array([2, 6, 2, 3, 5, 2]), array([1, 6, 1, 1, 3, 6]), array([7, 3, 2, 1, 2, 6]), array([6, 7, 7, 3, 3, 2]), array([4, 7, 5, 6, 2, 5])]",Agree,Disagree,Agree,Strongly agree,Yes,Disagree,Agree,Yes,Strongly agree,Strongly agree,Yes,Same,Didn't understand how this was supposed to help me. The narratives did nt make sense. I'm not sure what I need to do. \nThere was some insight into my work situations but it wasn't clear. \nI'm afraid I can't say I learnt much from this. I'm not sure a) what the grid says about me b) what should I do with the information..?,"['thoughtful', 'hardworking', 'opinionated']","['liberal', 'spontaneous', 'compromising', 'following', 'lazy']","['organised', 'teamplayer', 'playful', 'unhelpful', 'following', 'fastpaced', 'liberal', 'spontaneous', 'lazy', 'compromising', 'punctual']",Strongly agree,Strongly agree,Better,I understood this one. Those attributes describe me. I'd like to see how they can be used at work to make me feel less distressed },3.925925925925926,"[0.0, 0.016666666666666666, 0.16666666666666666, 0.23333333333333334, 4.133333333333334, 4.233333333333333, 7.4, 7.416666666666667, 7.433333333333334, 8.5, 8.616666666666667, 9.316666666666666, 9.733333333333333, 10.516666666666667, 11.45, 11.833333333333334, 12.55, 13.266666666666667, 13.583333333333334, 14.083333333333334, 14.95, 15.016666666666667, 15.95, 16.25, 17.066666666666666, 17.3, 17.65, 17.666666666666668, 17.75, 18.866666666666667, 19.666666666666668, 20.233333333333334, 20.266666666666666]","['boring / fun', 'unfriendly / friendly']","[1, 0]",-0.6235793842926831,-0.13871853407594295,"['uncaring / caring', 'selfish / generous', 'unfriendly / friendly', 'boring / fun', 'stubborn / docile', 'not understanding / understanding', 'not confident / confident']","['quiet / talkative', 'unambitious / motivated']","[3, 12, 8, 5]"
34,tylDO6Mb ,21,6,4,43,2,16,Male,Married,"[0, 1, 9, 12, 13, 11]","[1, 0, 2, 1, 0, 2, 1, 0, 0, 2, 0, 2, 0, 1, 2, 2]","[array([3, 6, 4, 3, 6, 6]), array([6, 7, 7, 5, 7, 6]), array([5, 6, 6, 3, 7, 7]), array([6, 7, 6, 4, 6, 5]), array([5, 6, 7, 4, 6, 6]), array([3, 5, 6, 3, 5, 5]), array([5, 5, 5, 3, 6, 5]), array([6, 7, 6, 3, 6, 6]), array([3, 6, 6, 5, 6, 5]), array([5, 7, 6, 4, 6, 5])]",Agree,Disagree,Agree,Disagree,Yes,Agree,Agree,Yes,Agree,Agree,Yes,Same,No,"['punctual', 'organised', 'teamplayer']","['delayed', 'serious', 'cluttered', 'independent', 'slowpaced']","['delayed', 'cluttered', 'independent', 'serious', 'compromising', 'unhelpful', 'influential', 'slowpaced', 'liberal', 'thoughtful', 'hardworking']",Disagree,Agree,Same,No},1.2469135802469133,"[0.0, 0.23333333333333334, 0.38333333333333336, 0.5166666666666667, 1.75, 1.8666666666666667, 4.133333333333334, 4.2, 4.333333333333333, 4.75, 4.95, 5.55, 6.05, 6.45, 6.75, 7.016666666666667, 7.316666666666666, 7.75, 8.116666666666667, 8.35, 8.666666666666666, 8.75, 9.366666666666667, 9.683333333333334, 10.116666666666667, 10.35, 11.016666666666667, 11.083333333333334, 11.166666666666666, 11.55, 11.966666666666667, 12.166666666666666, 12.333333333333334]","['boring / fun', 'not understanding / understanding']","[12, 13]",0.6302087912488812,0.4073611850056219,"['unsuccessful / successful', 'boring / fun', 'unambitious / motivated', 'not confident / confident']","['uncaring / caring', 'selfish / generous', 'unfriendly / friendly', 'quiet / talkative', 'stubborn / docile', 'not understanding / understanding']","[12, 13, 11, 9]"
35,74B2PCXW ,10,9,8,41,0,12,Female,Single,"[0, 1, 11, 8, 13, 12]","[1, 1, 3, 3, 2, 3, 3, 1, 1, 2, 0, 2, 1, 0, 0, 1]","[array([6, 6, 4, 2, 7, 7]), array([7, 7, 5, 6, 7, 7]), array([4, 6, 4, 2, 7, 6]), array([7, 7, 4, 5, 7, 7]), array([7, 7, 7, 7, 7, 7]), array([6, 6, 3, 1, 7, 7]), array([4, 4, 2, 2, 4, 3]), array([6, 6, 3, 2, 6, 6]), array([6, 7, 5, 6, 6, 7]), array([6, 6, 4, 3, 7, 7])]",Agree,Agree,Strongly agree,Strongly agree,Yes,Agree,Agree,Yes,Strongly agree,Strongly agree,Yes,Same,I think there should be a broader range of topics to be assessed on. ,"['thoughtful', 'hardworking', 'organised']","['delayed', 'lazy', 'cluttered', 'unhelpful', 'spontaneous']","['delayed', 'cluttered', 'teamplayer', 'playful', 'compromising', 'unhelpful', 'following', 'slowpaced', 'liberal', 'spontaneous', 'lazy']",Agree,Agree,Same,I found this very insightful},2.0925925925925926,"[0.0, 0.08333333333333333, 0.18333333333333332, 0.25, 0.9333333333333333, 0.9666666666666667, 5.016666666666667, 5.066666666666666, 5.1, 5.7, 6.016666666666667, 6.366666666666666, 6.583333333333333, 6.816666666666666, 7.666666666666667, 7.8, 8.083333333333334, 8.433333333333334, 8.883333333333333, 9.066666666666666, 9.233333333333333, 9.3, 10.35, 10.666666666666666, 10.916666666666666, 11.1, 11.75, 11.766666666666667, 11.833333333333334, 12.6, 13.016666666666667, 13.35, 13.383333333333333]","['unfriendly / friendly', 'unsuccessful / successful']","[8, 12]",0.7910655125202881,0.7813071691786544,['selfish / generous'],"['unsuccessful / successful', 'unfriendly / friendly', 'boring / fun', 'stubborn / docile', 'not understanding / understanding', 'not confident / confident']","[11, 8]"
36,rtY2U9KD ,12,3,5,30,0,14,Female,Single,"[0, 1, 8, 4, 12, 7]","[1, 2, 3, 2, 3, 0, 1, 0, 0, 0, 1, 1, 3, 1, 0, 1]","[array([5, 7, 6, 4, 5, 5]), array([5, 5, 6, 6, 1, 4]), array([5, 6, 6, 6, 3, 6]), array([4, 6, 6, 6, 1, 5]), array([5, 5, 5, 3, 1, 4]), array([3, 6, 5, 4, 1, 3]), array([5, 5, 7, 5, 3, 3]), array([6, 7, 6, 6, 3, 4]), array([7, 7, 7, 3, 3, 3]), array([5, 7, 6, 5, 5, 5])]",Disagree,Agree,Agree,Agree,No,Disagree,Disagree,Yes,Disagree,Disagree,Yes,Same,More specific scenarios may be helpful,"['hardworking', 'influential', 'thoughtful']","['unhelpful', 'spontaneous', 'following', 'conservative', 'lazy']","['punctual', 'organised', 'teamplayer', 'serious', 'compromising', 'unhelpful', 'following', 'slowpaced', 'conservative', 'spontaneous', 'lazy']",Agree,Agree,Same,I am both cluttered and organised,2.0432098765432096,"[0.0, 0.3, 0.5166666666666667, 0.7666666666666667, 2.6666666666666665, 2.783333333333333, 5.333333333333333, 5.416666666666667, 5.783333333333333, 7.75, 8.6, 9.45, 10.116666666666667, 10.75, 11.616666666666667, 12.5, 13.033333333333333, 13.433333333333334, 14.1, 14.7, 15.333333333333334, 15.45, 17.75, 18.3, 20.916666666666668, 21.233333333333334, 25.083333333333332, 25.133333333333333, 25.433333333333334, 26.283333333333335, 30.333333333333332, 30.65, 30.716666666666665]","['unfriendly / friendly', 'uncaring / caring']","[12, 0]",0.3611575592573076,0.27314943023740323,"['unsuccessful / successful', 'unfriendly / friendly', 'boring / fun', 'not confident / confident']","['uncaring / caring', 'selfish / generous', 'quiet / talkative', 'stubborn / docile', 'not understanding / understanding', 'unambitious / motivated']","[12, 4, 8, 7]"
37,3diZvhKb ,22,9,10,47,0,21,Female,Single,"[0, 1, 13, 11, 7, 10, 5, 8]","[2, 2, 3, 1, 0, 0, 0, 2, 1, 2, 0, 2, 1, 3, 2, 1]","[array([4, 7, 2, 6, 3, 6]), array([4, 2, 5, 4, 3, 6]), array([6, 7, 6, 7, 6, 4]), array([6, 7, 7, 5, 5, 6]), array([4, 5, 1, 6, 2, 5]), array([6, 7, 3, 4, 1, 4]), array([2, 6, 1, 3, 3, 4]), array([1, 2, 1, 3, 5, 2]), array([6, 4, 7, 3, 6, 5]), array([6, 6, 7, 4, 4, 3])]",Disagree,Agree,Agree,Agree,Yes,Agree,Agree,Yes,Agree,Agree,Yes,Better,No thank you ,"['organised', 'thoughtful', 'helpful']","['spontaneous', 'unhelpful', 'cluttered', 'liberal', 'compromising']","['punctual', 'cluttered', 'teamplayer', 'playful', 'compromising', 'unhelpful', 'influential', 'fastpaced', 'liberal', 'spontaneous', 'lazy']",Agree,Strongly agree,Better,No thank you },2.2222222222222223,"[0.0, 0.016666666666666666, 0.31666666666666665, 0.7333333333333333, 2.9166666666666665, 3.1, 6.533333333333333, 6.666666666666667, 7.083333333333333, 8.416666666666666, 9.166666666666666, 10.2, 10.866666666666667, 11.333333333333334, 11.866666666666667, 12.466666666666667, 12.883333333333333, 13.383333333333333, 13.9, 14.3, 14.7, 14.766666666666667, 15.466666666666667, 16.133333333333333, 17.0, 17.933333333333334, 18.233333333333334, 18.316666666666666, 18.4, 19.25, 19.883333333333333, 20.133333333333333, 20.233333333333334]","['not confident / confident', 'boring / fun']","[1, 13]",0.5273932026575102,0.24701164684350824,"['unsuccessful / successful', 'uncaring / caring', 'stubborn / docile', 'unambitious / motivated']","['selfish / generous', 'unfriendly / friendly', 'quiet / talkative', 'boring / fun', 'not understanding / understanding', 'not confident / confident']","[10, 11, 7, 13]"
38,DhYOBqZA ,30,7,8,45,2,10,Female,Married,"[0, 1, 12, 13, 2, 9]","[1, 2, 1, 1, 0, 0, 1, 0, 2, 1, 1, 1, 3, 2, 3, 3]","[array([5, 6, 5, 7, 5, 6]), array([6, 7, 6, 7, 7, 7]), array([5, 7, 5, 6, 6, 7]), array([6, 7, 6, 7, 6, 7]), array([6, 6, 7, 7, 7, 7]), array([4, 6, 4, 5, 4, 5]), array([3, 4, 4, 4, 2, 5]), array([6, 7, 6, 7, 5, 6]), array([4, 6, 4, 6, 5, 6]), array([3, 7, 5, 6, 5, 5])]",Agree,Agree,Agree,Agree,No,Agree,Strongly agree,Yes,Agree,Agree,Yes,Better,It’s interesting & really makes you think about how you are/feel in all the different situations ,"['punctual', 'organised', 'helpful']","['delayed', 'opinionated', 'cluttered', 'unhelpful', 'lazy']","['delayed', 'cluttered', 'teamplayer', 'playful', 'opinionated', 'unhelpful', 'influential', 'slowpaced', 'conservative', 'spontaneous', 'lazy']",Agree,Agree,Same,Again it’s very interesting when you put it in this way & you have to choose & prioritise },0.6543209876543209,"[0.0, 0.03333333333333333, 0.23333333333333334, 0.2833333333333333, 1.2666666666666666, 1.35, 2.816666666666667, 2.85, 2.8833333333333333, 3.6, 3.6666666666666665, 4.05, 4.383333333333334, 4.7, 4.9, 5.05, 5.3, 5.55, 5.75, 5.983333333333333, 6.133333333333334, 6.166666666666667, 6.55, 6.816666666666666, 7.1, 7.266666666666667, 7.833333333333333, 7.866666666666666, 7.9, 8.266666666666667, 8.766666666666667, 8.916666666666666, 8.95]","['unambitious / motivated', 'uncaring / caring']","[0, 1]",0.5335511537766943,0.599849477888305,"['selfish / generous', 'boring / fun', 'unambitious / motivated', 'not confident / confident']","['unsuccessful / successful', 'stubborn / docile', 'not understanding / understanding']","[13, 2, 9]"
39,rGIr3oYI ,17,6,4,40,2,9,Male,Married,"[0, 1, 12, 9, 10, 3]","[0, 0, 0, 1, 0, 0, 2, 0, 1, 1, 1, 0, 1, 1, 1, 1]","[array([6, 7, 5, 6, 5, 6]), array([4, 6, 3, 5, 5, 7]), array([4, 5, 3, 6, 5, 7]), array([6, 6, 4, 6, 6, 7]), array([5, 5, 3, 6, 5, 7]), array([5, 6, 3, 6, 4, 6]), array([3, 3, 3, 5, 3, 6]), array([5, 7, 3, 6, 5, 6]), array([7, 7, 7, 7, 7, 7]), array([5, 7, 5, 6, 4, 7])]",Agree,Agree,Agree,Agree,No,Agree,Agree,No,Agree,Agree,Yes,Same,Nothing I didn’t really already know about myself ,"['influential', 'opinionated', 'playful']","['serious', 'lazy', 'independent', 'compromising', 'following']","['punctual', 'cluttered', 'independent', 'serious', 'compromising', 'unhelpful', 'following', 'slowpaced', 'conservative', 'lazy', 'thoughtful']",Agree,Agree,Same,Not detailed enough},1.111111111111111,"[0.0, 0.15, 0.2833333333333333, 0.31666666666666665, 1.4666666666666666, 1.5166666666666666, 3.4, 3.433333333333333, 5.033333333333333, 5.8, 5.866666666666666, 6.216666666666667, 6.683333333333334, 6.983333333333333, 7.233333333333333, 7.516666666666667, 7.783333333333333, 8.033333333333333, 8.25, 8.483333333333333, 8.683333333333334, 8.716666666666667, 9.0, 9.216666666666667, 9.566666666666666, 9.683333333333334, 10.566666666666666, 10.616666666666667, 10.666666666666666, 11.033333333333333, 11.366666666666667, 11.5, 11.516666666666667]","['quiet / talkative', 'selfish / generous']","[10, 0]",0.7478530044942631,0.5087549435519086,"['uncaring / caring', 'not understanding / understanding', 'not confident / confident']","['unsuccessful / successful', 'selfish / generous', 'quiet / talkative', 'boring / fun', 'stubborn / docile']","[12, 10, 9, 3]"
40,r8BtT32m ,10,10,10,37,3,19,Male,Married,"[0, 1, 12, 9, 13, 6]","[1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[array([6, 7, 7, 7, 7, 7]), array([6, 7, 6, 6, 6, 6]), array([6, 7, 6, 6, 6, 6]), array([6, 7, 6, 6, 6, 7]), array([5, 6, 6, 6, 6, 6]), array([5, 6, 6, 6, 6, 6]), array([6, 7, 6, 6, 6, 6]), array([5, 6, 6, 6, 6, 6]), array([6, 7, 6, 6, 6, 6]), array([6, 6, 6, 6, 6, 6])]",Agree,Agree,Agree,Agree,Yes,Agree,Agree,Yes,Agree,Agree,Yes,Better,Very helpful,"['teamplayer', 'hardworking', 'helpful']","['punctual', 'independent', 'unhelpful', 'following', 'lazy']","['punctual', 'cluttered', 'independent', 'serious', 'opinionated', 'unhelpful', 'following', 'slowpaced', 'conservative', 'thoughtful', 'lazy']",Agree,Agree,Better,Very helpful},0.13271604938271608,"[0.0, 0.0, 0.2833333333333333, 0.4, 1.65, 1.7833333333333334, 3.65, 3.783333333333333, 3.95, 4.95, 5.366666666666666, 6.15, 6.966666666666667, 7.9, 8.983333333333333, 9.916666666666666, 10.75, 11.633333333333333, 12.45, 13.533333333333333, 14.383333333333333, 14.433333333333334, 15.666666666666666, 16.1, 16.816666666666666, 17.133333333333333, 17.583333333333332, 17.7, 17.833333333333332, 18.45, 20.066666666666666, 20.7, 20.75]","['not understanding / understanding', 'unsuccessful / successful']","[9, 13]",0.8017837257372733,0.4053057194257724,[],[],[]
41,Po0zj4Vv ,10,10,10,40,1,22,Female,Single,"[0, 1, 12, 8, 2, 11, 9]","[2, 1, 3, 3, 3, 3, 3, 2, 3, 3, 2, 3, 2, 2, 2, 2]","[array([5, 7, 7, 4, 5, 4]), array([7, 4, 6, 6, 3, 6]), array([3, 6, 5, 7, 5, 5]), array([6, 6, 7, 5, 6, 5]), array([3, 5, 4, 6, 3, 5]), array([5, 2, 5, 5, 5, 2]), array([7, 3, 1, 4, 3, 4]), array([4, 4, 2, 2, 4, 2]), array([2, 5, 6, 5, 3, 5]), array([4, 5, 5, 7, 4, 2])]",Strongly agree,Agree,Agree,Agree,Yes,Strongly agree,Strongly agree,Yes,Strongly agree,Strongly agree,Yes,Better,I found it very informative,"['teamplayer', 'helpful', 'liberal']","['independent', 'conservative', 'unhelpful', 'following', 'thoughtful']","['punctual', 'organised', 'independent', 'playful', 'opinionated', 'unhelpful', 'following', 'slowpaced', 'conservative', 'thoughtful', 'lazy']",Agree,Agree,Same,Informative outcome},1.6759259259259258,"[0.0, 0.08333333333333333, 0.23333333333333334, 0.45, 2.05, 2.1333333333333333, 4.333333333333333, 4.433333333333334, 4.583333333333333, 5.533333333333333, 5.916666666666667, 6.416666666666667, 6.983333333333333, 7.466666666666667, 7.883333333333334, 8.233333333333333, 8.616666666666667, 9.033333333333333, 9.8, 10.1, 10.5, 10.55, 11.966666666666667, 12.466666666666667, 13.1, 13.383333333333333, 14.0, 14.033333333333333, 14.133333333333333, 14.8, 15.466666666666667, 15.7, 15.75]","['quiet / talkative', 'stubborn / docile']","[11, 2]",-0.31255935664237394,0.24600191989024028,"['unsuccessful / successful', 'uncaring / caring', 'selfish / generous', 'quiet / talkative', 'boring / fun', 'stubborn / docile', 'unambitious / motivated']","['not understanding / understanding', 'not confident / confident']","[12, 8, 11]"
